sample_time_s,sample_margin_m,left_time_s,left_margin_m,right_time_s,right_margin_m,refined_time_s,refined_margin_m,endpoint,success
3.2,0.16717733394121098,3.1,0.16718014292273173,3.3,0.16717860908970297,3.2187887182788018,0.16717726185644302,False,True
7.4,0.1669948482677488,7.3,0.16699618660208854,7.5,0.16699761533386642,7.382609343871034,0.16699478618985936,False,True
17.5,0.18429481066149747,17.4,0.18429585049198038,17.6,0.1842978679724597,17.475389910614044,0.18429468658398288,False,True
19.1,0.18429484664164286,19.0,0.18429803912399528,19.2,0.18429574986761496,19.127953677928332,0.184294686583986,False,True
29.1,0.16478438933106945,29.0,0.16478669156960596,29.2,0.16478655026521674,29.10159351960306,0.16478438876381238,False,True
33.2,0.1645904766446321,33.1,0.16459323555041278,33.3,0.16459220336987904,33.2115176549916,0.1645904468975315,False,True
43.3,0.1823685648931296,43.2,0.18237112514407527,43.4,0.1823704805969055,43.30721156381099,0.18236855325467663,False,True
54.2,0.16224987854594541,54.1,0.16225215503892848,54.3,0.16225249235049913,54.196562157974014,0.16224987565792331,False,True
58.3,0.16204391643817842,58.2,0.16204404146795012,58.4,0.16204870886000972,58.2525451833942,0.1620433629006443,False,True
68.4,0.18032686805144274,68.3,0.18032693581804984,68.5,0.1803317063262403,68.35138324842868,0.1803262884312347,False,True
78.5,0.1595608510326339,78.4,0.15956373514210748,78.6,0.1595633402450816,78.50368739147133,0.15956084737955745,False,True
82.5,0.1593405224575521,82.4,0.1593435304330593,82.6,0.15934291657306893,82.50569307305634,0.15934051369871383,False,True
91.0,0.17815763665898401,90.9,0.17815789590363776,91.1,0.17816276829886107,90.95481089806539,0.17815708643627876,False,True
92.6,0.17815710338383892,92.5,0.17816022435744586,92.7,0.1781593709901032,92.60793210010644,0.17815708643627626,False,True
102.0,0.15670298901351934,101.9,0.15670730866032473,102.1,0.1567045909938364,102.02295657146041,0.15670283293171644,False,True
106.0,0.1564675096507843,105.9,0.15646875726827594,106.1,0.15647221886653986,105.97095306712144,0.15646725842060694,False,True
114.4,0.17584892620090634,114.3,0.17585329214316325,114.5,0.17585049882016018,114.42353161157467,0.17584876178291903,False,True
116.1,0.17584892059530505,116.0,0.17585051653123118,116.2,0.17585326537586998,116.07687591931135,0.17584876178291822,False,True
124.8,0.15366019516755705,124.7,0.15366048089787068,124.9,0.15366646172503212,124.75436754270466,0.15365951311332163,False,True
128.6,0.15340784721141124,128.5,0.1534143203374369,128.7,0.15340795805840962,128.64831874620552,0.15340707834667514,False,True
137.1,0.17338752951111383,137.0,0.17339111788281872,137.2,0.17339050905024908,137.10464802736018,0.17338752241181019,False,True
146.7,0.1504124210384438,146.6,0.15041590142640152,146.8,0.1504162092704766,146.69789902847867,0.15041241943276887,False,True
150.5,0.15014179129917363,150.4,0.15014820628176076,150.6,0.1501426845365892,150.53778622823816,0.15014126942995587,False,True
159.0,0.1707576980488752,158.9,0.170761210511345,159.1,0.17076147436420544,158.9982069051854,0.17075769687557765,False,True
167.9,0.14694144725659922,167.8,0.14694173338323518,168.0,0.1469492616439724,167.8535398481201,0.1469405731998902,False,True
171.6,0.14664920370694182,171.5,0.14665647743592108,171.7,0.14665007196949736,171.63934749853564,0.14664857333487186,False,True
180.1,0.16794141151846448,180.0,0.16794581341702927,180.2,0.1679451279012546,180.10423991157703,0.16794140422486997,False,True
188.2,0.1432202555871386,188.1,0.14322670662429499,188.3,0.14322285848588628,188.22126707375526,0.14322005080909964,False,True
192.0,0.14290573956534527,191.9,0.14290601147328377,192.1,0.1429145842771963,191.9529878762286,0.1429047324959786,False,True
200.4,0.16491838807663708,200.3,0.1649249949071681,200.5,0.16492085873880838,200.42279832489723,0.1649181521386097,False,True
207.8,0.13922345806104755,207.7,0.1392286505862638,207.9,0.1392284389572304,207.8010584452754,0.13922345748976667,False,True
211.5,0.13888218283768589,211.4,0.13888512121303967,211.6,0.1388894852596724,211.4787070247643,0.1388819507846403,False,True
218.3,0.1616643450483433,218.2,0.16166933936593275,218.4,0.16166955033757954,218.29898737872588,0.16166434452341186,False,True
226.6,0.1349193160816801,226.5,0.13492423881065463,226.7,0.13492587772856213,226.59288645570302,0.13491928701920033,False,True
230.2,0.13454839366346252,230.1,0.13455607629582503,230.3,0.13455226712815593,230.21650139995623,0.13454823631766968,False,True
237.0,0.158153704654336,236.9,0.15816432474012715,237.1,0.15815458934922025,237.04232080647955,0.15815267403631145,False,True
244.6,0.13027114575115875,244.5,0.13027722804300726,244.7,0.13027809277376928,244.59670267978183,0.13027113867712628,False,True
248.2,0.12986733892951444,248.1,0.1298694830400332,248.3,0.1298783176535059,248.16635247983857,0.12986659638083625,False,True
