time_s,global_margin_m,collision_flag,candidate_pairs,tested_pairs,circle_rejected_pairs
59.5,1.624269974661e-01,0,,1050,23481
60.0,1.627970720360e-01,0,,1053,23478
60.5,1.632915996485e-01,0,,1058,23473
61.0,1.639110268125e-01,0,,1055,23476
61.5,1.646558001950e-01,0,,1053,23478
62.0,1.655263666028e-01,0,,1056,23475
62.5,1.665231729658e-01,0,,1056,23475
63.0,1.676466663207e-01,0,,1056,23475
63.5,1.688972937911e-01,0,,1052,23479
64.0,1.702755025705e-01,0,,1061,23470
64.5,1.717817399074e-01,0,,1056,23475
65.0,1.734164530802e-01,0,,1055,23476
65.5,1.751800893844e-01,0,,1064,23467
66.0,1.770730961109e-01,0,,1060,23471
66.5,1.790959205277e-01,0,,1061,23470
67.0,1.803485995632e-01,0,,1064,23467
67.5,1.804841332047e-01,0,,1063,23468
68.0,1.803565398644e-01,0,,1064,23467
68.5,1.803317063262e-01,0,,1060,23471
69.0,1.804296126089e-01,0,,1068,23463
69.5,1.803885766964e-01,0,,1067,23464
70.0,1.785665445441e-01,0,,1061,23470
70.5,1.764192097745e-01,0,,1075,23456
71.0,1.743979825440e-01,0,,1064,23467
71.5,1.725033733644e-01,0,,1066,23465
72.0,1.707358933069e-01,0,,1068,23463
72.5,1.690960539830e-01,0,,1067,23464
73.0,1.675843675302e-01,0,,1068,23463
73.5,1.662013465941e-01,0,,1064,23467
74.0,1.649475043118e-01,0,,1068,23463
74.5,1.638233542932e-01,0,,1068,23463
75.0,1.628294106056e-01,0,,1065,23466
75.5,1.619661877541e-01,0,,1071,23460
76.0,1.612342006633e-01,0,,1059,23472
76.5,1.606339646593e-01,0,,1063,23468
77.0,1.601659954521e-01,0,,1066,23465
77.5,1.598308091135e-01,0,,1065,23466
78.0,1.596289220601e-01,0,,1066,23465
78.5,1.595608510326e-01,0,,1069,23462
79.0,1.596271130760e-01,0,,1067,23464
79.5,1.598282255190e-01,0,,1067,23464
80.0,1.601647059535e-01,0,,1065,23466
80.5,1.604215319425e-01,0,,1070,23461
81.0,1.599505255791e-01,0,,1062,23469
81.5,1.596130079007e-01,0,,1063,23468
82.0,1.594094997898e-01,0,,1067,23464
82.5,1.593405224576e-01,0,,1064,23467
83.0,1.594065974235e-01,0,,1065,23466
83.5,1.596082464949e-01,0,,1068,23463
84.0,1.599459917457e-01,0,,1064,23467
84.5,1.604203554949e-01,0,,1063,23468
85.0,1.610318602865e-01,0,,1065,23466
85.5,1.617810288643e-01,0,,1068,23463
86.0,1.626683841530e-01,0,,1063,23468
86.5,1.636944492330e-01,0,,1064,23467
87.0,1.648597473188e-01,0,,1072,23459
87.5,1.661648017349e-01,0,,1062,23469
88.0,1.676101358922e-01,0,,1067,23464
88.5,1.691962732630e-01,0,,1069,23462
89.0,1.709237373592e-01,0,,1065,23466
89.5,1.727930517048e-01,0,,1070,23461
90.0,1.748047398102e-01,0,,1071,23460
90.5,1.769593251490e-01,0,,1074,23457
91.0,1.781576366590e-01,0,,1074,23457
91.5,1.782372868053e-01,0,,1072,23459
92.0,1.782565125529e-01,0,,1081,23450
92.5,1.781602243574e-01,0,,1067,23464
93.0,1.781985468337e-01,0,,1074,23457
93.5,1.777138956580e-01,0,,1075,23456
94.0,1.753469077787e-01,0,,1070,23461
94.5,1.731182912119e-01,0,,1078,23453
95.0,1.710286456764e-01,0,,1073,23458
95.5,1.690785716118e-01,0,,1075,23456
96.0,1.672686701567e-01,0,,1075,23456
96.5,1.655995431313e-01,0,,1076,23455
97.0,1.640717930100e-01,0,,1079,23452
97.5,1.626860229023e-01,0,,1068,23463
98.0,1.614428365276e-01,0,,1074,23457
98.5,1.603428381938e-01,0,,1075,23456
99.0,1.593866327720e-01,0,,1071,23460
99.5,1.585748256721e-01,0,,1076,23455
100.0,1.579080228210e-01,0,,1079,23452
100.5,1.573868306332e-01,0,,1075,23456
101.0,1.570118559885e-01,0,,1076,23455
101.5,1.567837062053e-01,0,,1078,23453
102.0,1.567029890135e-01,0,,1083,23448
102.5,1.567703125288e-01,0,,1076,23455
103.0,1.569862852247e-01,0,,1080,23451
103.5,1.573515159042e-01,0,,1080,23451
104.0,1.576177341882e-01,0,,1075,23456
104.5,1.571089431133e-01,0,,1079,23452
105.0,1.567472334295e-01,0,,1082,23449
105.5,1.565332178869e-01,0,,1077,23454
106.0,1.564675096508e-01,0,,1077,23454
106.5,1.565507222746e-01,0,,1080,23451
107.0,1.567834696708e-01,0,,1084,23447
107.5,1.571663660854e-01,0,,1080,23451
108.0,1.577000260665e-01,0,,1079,23452
108.5,1.583850644366e-01,0,,1087,23444
109.0,1.592220962626e-01,0,,1077,23454
109.5,1.602117368266e-01,0,,1082,23449
110.0,1.613546015938e-01,0,,1083,23448
110.5,1.626513061806e-01,0,,1080,23451
111.0,1.641024663284e-01,0,,1081,23450
111.5,1.657086978640e-01,0,,1081,23450
112.0,1.674706166711e-01,0,,1086,23445
112.5,1.693888386579e-01,0,,1080,23451
113.0,1.714639797208e-01,0,,1087,23444
113.5,1.736966557115e-01,0,,1093,23438
114.0,1.759019724879e-01,0,,1078,23453
114.5,1.758504988202e-01,0,,1084,23447
115.0,1.759476113664e-01,0,,1086,23445
115.5,1.759474359894e-01,0,,1083,23448
116.0,1.758505165312e-01,0,,1085,23446
116.5,1.754347018858e-01,0,,1084,23447
117.0,1.729052198513e-01,0,,1085,23446
117.5,1.705283978788e-01,0,,1081,23450
118.0,1.683049447798e-01,0,,1085,23446
118.5,1.662355702891e-01,0,,1092,23439
119.0,1.643209850404e-01,0,,1080,23451
119.5,1.625619005349e-01,0,,1085,23446
120.0,1.609590291135e-01,0,,1086,23445
120.5,1.595130839239e-01,0,,1083,23448
121.0,1.582247788926e-01,0,,1081,23450
121.5,1.570948286902e-01,0,,1088,23443
122.0,1.561239487021e-01,0,,1085,23446
122.5,1.553128549930e-01,0,,1078,23453
123.0,1.546622642763e-01,0,,1085,23446
123.5,1.541728938783e-01,0,,1092,23439
